timestamp,label,ax,ay,az,vx,vy,vz,rms,status
2026-05-02T20:32:44.038,normal,-0.907,0.38,0.039,-0.002,0.017,-0.026,0.025,NORMAL
2026-05-02T20:32:44.539,normal,-0.903,0.367,0.07,0.003,0.001,0.008,0.025,NORMAL
2026-05-02T20:32:45.038,normal,-0.896,0.344,0.072,0.008,-0.018,0.007,0.026,NORMAL
2026-05-02T20:32:45.539,normal,-0.914,0.389,0.053,-0.008,0.026,-0.009,0.026,NORMAL
2026-05-02T20:32:46.039,normal,-0.903,0.353,0.05,0.002,-0.011,-0.009,0.022,NORMAL
2026-05-02T20:32:46.538,normal,-0.898,0.346,0.061,0.007,-0.015,-0.001,0.02,NORMAL
2026-05-02T20:32:47.038,normal,-0.906,0.356,0.068,0.0,-0.002,0.005,0.02,NORMAL
2026-05-02T20:32:47.538,normal,-0.909,0.351,0.064,-0.003,-0.007,0.004,0.019,NORMAL
2026-05-02T20:32:48.038,normal,-0.899,0.343,0.076,0.006,-0.013,0.013,0.02,NORMAL
2026-05-02T20:32:48.538,normal,-0.905,0.358,0.063,0.0,0.003,-0.002,0.019,NORMAL
2026-05-02T20:32:49.038,normal,-0.901,0.341,0.084,0.003,-0.012,0.016,0.018,NORMAL
2026-05-02T20:32:49.538,normal,-0.913,0.354,0.071,-0.009,0.001,0.003,0.017,NORMAL
2026-05-02T20:32:50.038,normal,-0.908,0.362,0.066,-0.003,0.008,-0.006,0.018,NORMAL
2026-05-02T20:32:50.537,normal,-0.895,0.348,0.069,0.009,-0.007,-0.002,0.018,NORMAL
2026-05-02T20:32:51.038,normal,-0.898,0.364,0.06,0.006,0.008,-0.008,0.02,NORMAL
2026-05-02T20:32:51.537,normal,-0.915,0.375,0.088,-0.009,0.02,0.018,0.019,NORMAL
2026-05-02T20:32:52.037,normal,-0.902,0.37,0.072,0.004,0.014,0.0,0.019,NORMAL
2026-05-02T20:32:52.538,normal,-0.902,0.361,0.055,0.003,0.005,-0.016,0.02,NORMAL
2026-05-02T20:32:53.038,normal,-0.912,0.344,0.072,-0.006,-0.01,0.003,0.019,NORMAL
2026-05-02T20:32:53.538,normal,-0.906,0.345,0.059,0.0,-0.008,-0.01,0.019,NORMAL
2026-05-02T20:32:54.038,normal,-0.913,0.372,0.054,-0.008,0.018,-0.017,0.019,NORMAL
2026-05-02T20:32:54.538,normal,-0.902,0.358,0.061,0.004,0.003,-0.008,0.019,NORMAL
2026-05-02T20:32:55.037,normal,-0.909,0.368,0.085,-0.004,0.013,0.015,0.018,NORMAL
2026-05-02T20:32:55.538,normal,-0.893,0.355,0.061,0.013,-0.001,-0.009,0.018,NORMAL
2026-05-02T20:32:56.037,normal,-0.916,0.355,0.068,-0.008,-0.004,-0.003,0.019,NORMAL
2026-05-02T20:32:56.537,normal,-0.911,0.369,0.088,-0.004,0.01,0.013,0.02,NORMAL
2026-05-02T20:32:57.037,normal,-0.907,0.351,0.103,-0.001,-0.006,0.026,0.021,NORMAL
